Hour,Actual (EUR/MWh),Fair Value (EUR/MWh),Spread (EUR/MWh),Hist. MAE (EUR/MWh),Signal
00:00,79.44,72.09287939328732,7.347120606712679,11.731218458240907,HOLD
01:00,83.6,87.50443847351771,-3.9044384735177147,11.731218458240907,HOLD
02:00,87.1,81.64561416189876,5.454385838101231,11.731218458240907,HOLD
03:00,90.49,84.81749955504598,5.672500444954011,10.163163686206147,HOLD
04:00,94.15,85.38947227788888,8.76052772211112,10.163163686206147,HOLD
05:00,98.64,101.37241627481538,-2.732416274815378,10.163163686206147,HOLD
06:00,94.19,101.68886737378942,-7.498867373789423,10.163163686206147,HOLD
07:00,83.15,87.00663251296926,-3.856632512969256,11.731218458240907,HOLD
08:00,54.31,66.30581892277704,-11.995818922777033,25.56063860506186,BUY
09:00,-0.01,38.28924210144025,-38.29924210144025,21.859508002604297,BUY
10:00,-28.19,8.347736387439037,-36.53773638743904,72.43441889257812,SUPPRESSED (high model error)
11:00,-127.37,-5.415639263841086,-121.95436073615892,72.43441889257812,SUPPRESSED (high model error)
12:00,-259.96,-6.7346444040565085,-253.22535559594348,72.43441889257812,SUPPRESSED (high model error)
13:00,-413.77,-7.4994868529779914,-406.270513147022,72.43441889257812,SUPPRESSED (high model error)
14:00,-413.25,-7.802493487463491,-405.4475065125365,72.43441889257812,SUPPRESSED (high model error)
15:00,-235.89,-0.3724653593152484,-235.51753464068474,72.43441889257812,SUPPRESSED (high model error)
16:00,-37.31,26.0178546569283,-63.3278546569283,72.43441889257812,SUPPRESSED (high model error)
17:00,11.18,60.58661269963264,-49.40661269963264,25.56063860506186,BUY
18:00,113.1,125.0557793158175,-11.955779315817509,12.868356450722848,BUY
19:00,150.29,147.03033234048,3.259667659520005,15.330494729993765,HOLD
20:00,157.82,155.72912198048445,2.090878019515543,15.330494729993765,HOLD
21:00,140.65,152.48944816381945,-11.83944816381944,15.330494729993765,BUY
22:00,126.41,146.7824784573738,-20.372478457373802,14.967329879467137,BUY
23:00,122.88,141.96245710789603,-19.082457107896033,14.967329879467137,BUY
